Hospital Name,Street,District,Region
Bright Future Hospital,Mtaa wa Amani,Magu,Mwanza
Peace Hospital,Mtaa wa Baraka,Ilemela,Mwanza
New Life Health Center,Azikiwe Street,Nyamagana,Mwanza
Grace Health Center,Mtaa wa Upendo,Ilemela,Mwanza
Sacred Heart Medical Center,Mtaa wa Upendo,Nyamagana,Mwanza
New Life Clinic,Kaloleni Street,Magu,Mwanza
Hope Health Facility,Kaloleni Street,Nyamagana,Mwanza
Good Health Health Facility,Buhongwa Road,Magu,Mwanza
Bright Future Medical Center,Mtaa wa Walinzi,Ilemela,Mwanza
Bright Future Health Facility,Kijitonyama Road,Magu,Mwanza
St. Mary’s Clinic,Azikiwe Street,Nyamagana,Mwanza
Faith Health Facility,Nyamagana Road,Nyamagana,Mwanza
Golden Hospital,Nyerere Street,Magu,Mwanza
St. Mary’s Clinic,Nyerere Street,Magu,Mwanza
Healing Health Facility,Mlimani Avenue,Nyamagana,Mwanza
Grace Clinic,Nyerere Street,Nyamagana,Mwanza
St. Mary’s Health Facility,Nyamagana Road,Ilemela,Mwanza
Unity Hospital,Njiro Road,Magu,Mwanza
Good Health Health Center,Azikiwe Street,Ilemela,Mwanza
Mercy Health Facility,Mtaa wa Baraka,Nyamagana,Mwanza
Sacred Heart Health Facility,Mtaa wa Baraka,Nyamagana,Mwanza
Hope Clinic,Mtaa wa Baraka,Magu,Mwanza
Grace Health Center,Kaloleni Street,Ilemela,Mwanza
Mercy Clinic,Mtaa wa Baraka,Nyamagana,Mwanza
Silver Hospital,Azikiwe Street,Nyamagana,Mwanza
Sunrise Health Center,Njiro Road,Nyamagana,Mwanza
Good Health Health Center,Mlimani Avenue,Nyamagana,Mwanza
Mercy Clinic,Bismarck Street,Magu,Mwanza
Sacred Heart Clinic,Mtaa wa Upendo,Magu,Mwanza
Hope Clinic,Mlimani Avenue,Ilemela,Mwanza
Peace Health Facility,Azikiwe Street,Nyamagana,Mwanza
Hope Health Facility,Kijitonyama Road,Nyamagana,Mwanza
Hope Clinic,Bismarck Street,Magu,Mwanza
Hope Clinic,Jamhuri Avenue,Nyamagana,Mwanza
Sacred Heart Health Center,Kijitonyama Road,Nyamagana,Mwanza
Grace Health Center,Buhongwa Road,Magu,Mwanza
Mercy Clinic,Mtaa wa Upendo,Nyamagana,Mwanza
Grace Hospital,Mtaa wa Amani,Nyamagana,Mwanza
Peace Medical Center,Buhongwa Road,Nyamagana,Mwanza
Bright Future Health Center,Kaloleni Street,Magu,Mwanza
Healing Health Center,Njiro Road,Nyamagana,Mwanza
Grace Hospital,Jamhuri Avenue,Magu,Mwanza
Golden Health Facility,Kaloleni Street,Magu,Mwanza
Hope Medical Center,Kaloleni Street,Ilemela,Mwanza
Peace Clinic,Mlimani Avenue,Nyamagana,Mwanza
Faith Hospital,Mtaa wa Upendo,Ilemela,Mwanza
Peace Health Center,Meru Road,Ilemela,Mwanza
Sacred Heart Health Center,Mtaa wa Baraka,Ilemela,Mwanza
Sunrise Health Facility,Mlimani Avenue,Nyamagana,Mwanza
Sunrise Medical Center,Jamhuri Avenue,Nyamagana,Mwanza
Unity Clinic,Mtaa wa Upendo,Nyamagana,Mwanza
